ID,Assigned Stage,Assigned Choice Rank
3XdluvWkn4NM3gFsvPNCtUDM5Oi1,20_1,1
4Bf1mBR9HjcLeFcDeuEVRrGDaU63,89_1,1
4XpuWt6oUEgmQ9IjEloUtqyd4c43,3_1,1
4qoWztDujictoqTEJvJK6xF1Zcr1,lesé,none
6Kza76qZHxOb8TlrP068rdr93br1,55_1,2
8YkNXMIQd4OiFHX0Ljm4LKsbZ2A2,4_1,1
A5gF87EUo6NdCaKoemDLN5V4gkF2,9_1,1
AXP0X3rUqzbpG3thTZcuZ6Ax1no1,94_1,4
AaVsgnDJcfc4ZG8BwfCezt1VSZA3,50_1,1
H4RtKMKXpYhJkTOTOOm62ANGNAo2,52_1,1
Hnqd1QWfsafGdmWBECGv7owgJFt2,49_1,1
Jg1Ejqc46rbcTHBwOMRYZZRwbTE2,lesé,none
KplEdkaz5na6IzzQUFxy8ldozMA2,95_1,1
M8ySAiobcuStMPVUKB1SUjfZO2D2,22_1,1
NKzeoLK9hlSWLKHy858f84dZ7jz1,43_1,1
Na44fbbTNZUjn7JIw6bBgLmTGmB2,35_1,1
PQKKiABo9oWhgcOKlmD5f1kKPoF3,92_1,1
QzBEdtlEIsfsg3pD6B1adFBmZSG2,87_1,1
R5PCIOnQeUhRSyFRTI9fg0Wp8p23,49_1,1
RY3eRRvuMhcM10siGR3QdhIHBI42,lesé,none
SodSajGZ6lhfjjwB8YB4pMYT3hZ2,49_1,1
T70EwGWJMtZ22rcprSkqiOcPzTf1,44_1,1
VO9wOi3JGvVchoaQvtNTidOABe03,101_1,1
Vnf1L8xxhFheK6RE3P18MGzMDkc2,41_1,2
WwfAPnGOElWCCprK8J9QpARedqV2,51_1,1
XK3sK3I48cMs89evbLhJZwBNlS92,lesé,none
XQtDBAPWalffkax0p7ml1k0yOtr2,lesé,none
YiI50LxSiZYDXMtiCNf6kwEWSQ42,lesé,none
aMpDSmIIsjZHIHJrVFGyKiLF94j2,lesé,none
atQ2mk9k2lUYzt9nrJgwsjyzz702,lesé,none
db0aQCgPMGgusm21XWqJ6RkXRvU2,14_1,1
djz1MyC7JsYen1wobYSUQC4aeF92,lesé,none
fE3EIKzXzKd3e7k8xoye5uc3PPd2,lesé,none
fgw7KyTqr4WAoThi0KjJtDRY7Ri2,0_1,3
h21ZyIpknGUksWjxUDLo2Mthwy92,32_1,3
hZTRrS8UMrfybYXKulfk1pI03jw2,18_1,1
i3VYPIfwLqTWfAL1E5HeHRRM5TE3,44_1,1
kBlGnRSNhgaQSTPumpAz4jZ7pgq2,41_1,3
lQVKbNduW7gdmCOBxC5KYnaIvGG3,lesé,none
lRjmWjDaAUcsqHli7A3rfvAazgl2,62_1,3
mGwDQ6cu9BfI9d0sLUVdZBnoooB2,15_1,3
nqvttcCyf3SL6YT1DJJ8GGM3MKz2,59_1,2
qMjlyqwW8wN9IsVapiUoCXrJjOG2,lesé,none
sJ0z0k4idEg6PMCnMrjW3lho9cs1,13_1,1
ta5fEsMcBHV64fLfjy7knGlQVd93,lesé,none
tc2VPj6NxHQyXqO9cxgs1VvCH9A2,lesé,none
ugBbi96TQGRuQLKFwT43qJHa4za2,lesé,none
uwUTp2rxDHhytEej6vKfcVlOCY73,26_1,1
v0Bv2oLhCkhDJvVvXktZsmnj16U2,63_1,1
wb6ciGEN2tVpmU0Ld5ftdVCy1Qi1,6_1,4
yWShM6jbuNcck2CfI0ihEtckesW2,56_1,1
yn7VMvQNy8gz9G2SrHjsYIuCfxA2,40_1,1
zss86bdGCVgvYgWzkc8dK7qLNi92,32_1,1
