Place ID,Nom Place,Lieu,Domaine,Critères en True
13_1,Clinique romande de réadaptation (CRR) - SUVA ,Sion,Ortho,"FR, REHAB, MSQ"
13_1,Clinique romande de réadaptation (CRR) - SUVA ,Sion,Ortho,"FR, REHAB, MSQ"
16_1,Gesundheitszentrum Physiotherapie Saastal GmbH,Saas-Grund,Ambu,"ALL, REHAB, MSQ, NEUROGER, AMBU"
17_1,Clinique de Crans-Montana - HCUGE,Montana,Ortho - Psychosomatique,"FR, REHAB, MSQ"
28_1,Hôpital du Jura - site de Porrentruy,Porrentruy,Ortho - Ger,"FR, REHAB, MSQ, NEUROGER"
34_1,Hôpital Riviera-Chablais - CGR Monthey,Monthey,Ger,"FR, REHAB, NEUROGER"
36_1,Hôpital du Valais (HVS) - site de Martigny ,Martigny,Ortho,"FR, REHAB, MSQ"
36_1,Hôpital du Valais (HVS) - site de Martigny ,Martigny,Ortho,"FR, REHAB, MSQ"
37_1,Hôpital du Valais (HVS) - site de Martigny ,Martigny,Ger,"FR, REHAB, NEUROGER"
38_1,Hôpital du Valais (HVS) - site de Sierre,Sierre,Ger,"FR, REHAB, NEUROGER"
39_1,Hôpital du Valais (HVS) - site de Sierre,Sierre,Ortho,"FR, REHAB, MSQ"
45_1,Hôpital du Valais - St-Amé,Saint-Maurice,Ger,"FR, REHAB, NEUROGER"
45_1,Hôpital du Valais - St-Amé,Saint-Maurice,Ger,"FR, REHAB, NEUROGER"
74_1,CHUV,Lausanne,Soins intensifs (DCILM-SMIA),"FR, SYSINT"
78_1,Centre Rencontres,Courfaivre,Neuro,"FR, REHAB, NEUROGER"
85_1,Therapiezentrum Stalden,Stalden,Ambu,"ALL, REHAB, MSQ, AMBU"
